,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
36,New York Islanders,1990,25,45,,0.312,223,290,-67.0
37,New York Rangers,1990,36,31,,0.45,297,265,32.0
38,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15.0
39,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37.0
40,Quebec Nordiques,1990,16,50,,0.2,236,354,-118.0
41,St. Louis Blues,1990,47,22,,0.588,310,250,60.0
42,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77.0
43,Vancouver Canucks,1990,28,43,,0.35,243,315,-72.0
44,Washington Capitals,1990,37,36,,0.463,258,258,0.0
45,Winnipeg Jets,1990,26,43,,0.325,260,288,-28.0
46,Boston Bruins,1991,36,32,,0.45,270,275,-5.0
47,Buffalo Sabres,1991,31,37,,0.388,289,299,-10.0
48,Calgary Flames,1991,31,37,,0.388,296,305,-9.0
49,Chicago Blackhawks,1991,36,29,,0.45,257,236,21.0
50,Detroit Red Wings,1991,43,25,,0.537,320,256,64.0
51,Edmonton Oilers,1991,36,34,,0.45,295,297,-2.0
52,Hartford Whalers,1991,26,41,,0.325,247,283,-36.0
53,Los Angeles Kings,1991,35,31,,0.438,287,296,-9.0
54,Minnesota North Stars,1991,32,42,,0.4,246,278,-32.0
55,Montreal Canadiens,1991,41,28,,0.512,267,207,60.0
56,New Jersey Devils,1991,38,31,,0.475,289,259,30.0
57,New York Islanders,1991,34,35,,0.425,291,299,-8.0
58,New York Rangers,1991,50,25,,0.625,321,246,75.0
59,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21.0
60,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35.0
61,Quebec Nordiques,1991,20,48,,0.25,255,318,-63.0
62,San Jose Sharks,1991,17,58,,0.212,219,359,-140.0
63,St. Louis Blues,1991,36,33,,0.45,279,266,13.0
64,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60.0
65,Vancouver Canucks,1991,42,26,,0.525,285,250,35.0
66,Washington Capitals,1991,45,27,,0.562,330,275,55.0
67,Winnipeg Jets,1991,33,32,,0.412,251,244,7.0
68,Boston Bruins,1992,51,26,,0.607,332,268,64.0
69,Buffalo Sabres,1992,38,36,,0.452,335,297,38.0
70,Calgary Flames,1992,43,30,,0.512,322,282,40.0
71,Chicago Blackhawks,1992,47,25,,0.56,279,230,49.0
72,Detroit Red Wings,1992,47,28,,0.56,369,280,89.0
73,Edmonton Oilers,1992,26,50,,0.31,242,337,-95.0
74,Hartford Whalers,1992,26,52,,0.31,284,369,-85.0
75,Boston Bruins,1990,44,24,,0.55,299,264,35.0
76,Buffalo Sabres,1990,31,30,,0.388,292,278,14.0
77,Calgary Flames,1990,46,26,,0.575,344,263,81.0
78,Chicago Blackhawks,1990,49,23,,0.613,284,211,73.0
79,Detroit Red Wings,1990,34,38,,0.425,273,298,-25.0
80,Edmonton Oilers,1990,37,37,,0.463,272,272,0.0
81,Hartford Whalers,1990,31,38,,0.388,238,276,-38.0
82,Los Angeles Kings,1990,46,24,,0.575,340,254,86.0
83,Minnesota North Stars,1990,27,39,,0.338,256,266,-10.0
84,Montreal Canadiens,1990,39,30,,0.487,273,249,24.0
85,New Jersey Devils,1990,32,33,,0.4,272,264,8.0
86,New York Islanders,1990,25,45,,0.312,223,290,-67.0
87,New York Rangers,1990,36,31,,0.45,297,265,32.0
88,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15.0
89,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37.0
90,Quebec Nordiques,1990,16,50,,0.2,236,354,-118.0
91,St. Louis Blues,1990,47,22,,0.588,310,250,60.0
92,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77.0
93,Vancouver Canucks,1990,28,43,,0.35,243,315,-72.0
94,Washington Capitals,1990,37,36,,0.463,258,258,0.0
95,Winnipeg Jets,1990,26,43,,0.325,260,288,-28.0
96,Boston Bruins,1991,36,32,,0.45,270,275,-5.0
97,Buffalo Sabres,1991,31,37,,0.388,289,299,-10.0
98,Calgary Flames,1991,31,37,,0.388,296,305,-9.0
99,Chicago Blackhawks,1991,36,29,,0.45,257,236,21.0
100,Detroit Red Wings,1991,43,25,,0.537,320,256,64.0
101,Edmonton Oilers,1991,36,34,,0.45,295,297,-2.0
102,Hartford Whalers,1991,26,41,,0.325,247,283,-36.0
103,Los Angeles Kings,1991,35,31,,0.438,287,296,-9.0
104,Minnesota North Stars,1991,32,42,,0.4,246,278,-32.0
105,Montreal Canadiens,1991,41,28,,0.512,267,207,60.0
106,New Jersey Devils,1991,38,31,,0.475,289,259,30.0
107,New York Islanders,1991,34,35,,0.425,291,299,-8.0
108,New York Rangers,1991,50,25,,0.625,321,246,75.0
109,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21.0
110,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35.0
111,Quebec Nordiques,1991,20,48,,0.25,255,318,-63.0
112,San Jose Sharks,1991,17,58,,0.212,219,359,-140.0
113,St. Louis Blues,1991,36,33,,0.45,279,266,13.0
114,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60.0
115,Vancouver Canucks,1991,42,26,,0.525,285,250,35.0
116,Washington Capitals,1991,45,27,,0.562,330,275,55.0
117,Winnipeg Jets,1991,33,32,,0.412,251,244,7.0
118,Boston Bruins,1992,51,26,,0.607,332,268,64.0
119,Buffalo Sabres,1992,38,36,,0.452,335,297,38.0
120,Calgary Flames,1992,43,30,,0.512,322,282,40.0
121,Chicago Blackhawks,1992,47,25,,0.56,279,230,49.0
122,Detroit Red Wings,1992,47,28,,0.56,369,280,89.0
123,Edmonton Oilers,1992,26,50,,0.31,242,337,-95.0
124,Hartford Whalers,1992,26,52,,0.31,284,369,-85.0
125,Los Angeles Kings,1992,39,35,,0.464,338,340,-2.0
126,Minnesota North Stars,1992,36,38,,0.429,272,293,-21.0
127,Montreal Canadiens,1992,48,30,,0.571,326,280,46.0
128,New Jersey Devils,1992,40,37,,0.476,308,299,9.0
129,New York Islanders,1992,40,37,,0.476,335,297,38.0
130,New York Rangers,1992,34,39,,0.405,304,308,-4.0
131,Ottawa Senators,1992,10,70,,0.119,202,395,-193.0
132,Philadelphia Flyers,1992,36,37,,0.429,319,319,0.0
133,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99.0
134,Quebec Nordiques,1992,47,27,,0.56,351,300,51.0
135,San Jose Sharks,1992,11,71,,0.131,218,414,-196.0
136,St. Louis Blues,1992,37,36,,0.44,282,278,4.0
137,Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87.0
138,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47.0
139,Vancouver Canucks,1992,46,29,,0.548,346,278,68.0
140,Washington Capitals,1992,43,34,,0.512,325,286,39.0
141,Winnipeg Jets,1992,40,37,,0.476,322,320,2.0
142,Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22.0
143,Boston Bruins,1993,42,29,,0.5,289,252,37.0
144,Buffalo Sabres,1993,43,32,,0.512,282,218,64.0
145,Calgary Flames,1993,42,29,,0.5,302,256,46.0
146,Chicago Blackhawks,1993,39,36,,0.464,254,240,14.0
147,Dallas Stars,1993,42,29,,0.5,286,265,21.0
148,Detroit Red Wings,1993,46,30,,0.548,356,275,81.0
149,Edmonton Oilers,1993,25,45,,0.298,261,305,-44.0
150,Boston Bruins,1990,44,24,,0.55,299,264,35.0
151,Buffalo Sabres,1990,31,30,,0.388,292,278,14.0
152,Calgary Flames,1990,46,26,,0.575,344,263,81.0
153,Chicago Blackhawks,1990,49,23,,0.613,284,211,73.0
154,Detroit Red Wings,1990,34,38,,0.425,273,298,-25.0
155,Edmonton Oilers,1990,37,37,,0.463,272,272,0.0
156,Hartford Whalers,1990,31,38,,0.388,238,276,-38.0
157,Los Angeles Kings,1990,46,24,,0.575,340,254,86.0
158,Minnesota North Stars,1990,27,39,,0.338,256,266,-10.0
159,Montreal Canadiens,1990,39,30,,0.487,273,249,24.0
160,New Jersey Devils,1990,32,33,,0.4,272,264,8.0
161,New York Islanders,1990,25,45,,0.312,223,290,-67.0
162,New York Rangers,1990,36,31,,0.45,297,265,32.0
163,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15.0
164,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37.0
165,Quebec Nordiques,1990,16,50,,0.2,236,354,-118.0
166,St. Louis Blues,1990,47,22,,0.588,310,250,60.0
167,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77.0
168,Vancouver Canucks,1990,28,43,,0.35,243,315,-72.0
169,Washington Capitals,1990,37,36,,0.463,258,258,0.0
170,Winnipeg Jets,1990,26,43,,0.325,260,288,-28.0
171,Boston Bruins,1991,36,32,,0.45,270,275,-5.0
172,Buffalo Sabres,1991,31,37,,0.388,289,299,-10.0
173,Calgary Flames,1991,31,37,,0.388,296,305,-9.0
174,Chicago Blackhawks,1991,36,29,,0.45,257,236,21.0
175,Detroit Red Wings,1991,43,25,,0.537,320,256,64.0
176,Edmonton Oilers,1991,36,34,,0.45,295,297,-2.0
177,Hartford Whalers,1991,26,41,,0.325,247,283,-36.0
178,Los Angeles Kings,1991,35,31,,0.438,287,296,-9.0
179,Minnesota North Stars,1991,32,42,,0.4,246,278,-32.0
180,Montreal Canadiens,1991,41,28,,0.512,267,207,60.0
181,New Jersey Devils,1991,38,31,,0.475,289,259,30.0
182,New York Islanders,1991,34,35,,0.425,291,299,-8.0
183,New York Rangers,1991,50,25,,0.625,321,246,75.0
184,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21.0
185,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35.0
186,Quebec Nordiques,1991,20,48,,0.25,255,318,-63.0
187,San Jose Sharks,1991,17,58,,0.212,219,359,-140.0
188,St. Louis Blues,1991,36,33,,0.45,279,266,13.0
189,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60.0
190,Vancouver Canucks,1991,42,26,,0.525,285,250,35.0
191,Washington Capitals,1991,45,27,,0.562,330,275,55.0
192,Winnipeg Jets,1991,33,32,,0.412,251,244,7.0
193,Boston Bruins,1992,51,26,,0.607,332,268,64.0
194,Buffalo Sabres,1992,38,36,,0.452,335,297,38.0
195,Calgary Flames,1992,43,30,,0.512,322,282,40.0
196,Chicago Blackhawks,1992,47,25,,0.56,279,230,49.0
197,Detroit Red Wings,1992,47,28,,0.56,369,280,89.0
198,Edmonton Oilers,1992,26,50,,0.31,242,337,-95.0
199,Hartford Whalers,1992,26,52,,0.31,284,369,-85.0
200,Los Angeles Kings,1992,39,35,,0.464,338,340,-2.0
201,Minnesota North Stars,1992,36,38,,0.429,272,293,-21.0
202,Montreal Canadiens,1992,48,30,,0.571,326,280,46.0
203,New Jersey Devils,1992,40,37,,0.476,308,299,9.0
204,New York Islanders,1992,40,37,,0.476,335,297,38.0
205,New York Rangers,1992,34,39,,0.405,304,308,-4.0
206,Ottawa Senators,1992,10,70,,0.119,202,395,-193.0
207,Philadelphia Flyers,1992,36,37,,0.429,319,319,0.0
208,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99.0
209,Quebec Nordiques,1992,47,27,,0.56,351,300,51.0
210,San Jose Sharks,1992,11,71,,0.131,218,414,-196.0
211,St. Louis Blues,1992,37,36,,0.44,282,278,4.0
212,Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87.0
213,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47.0
214,Vancouver Canucks,1992,46,29,,0.548,346,278,68.0
215,Washington Capitals,1992,43,34,,0.512,325,286,39.0
216,Winnipeg Jets,1992,40,37,,0.476,322,320,2.0
217,Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22.0
218,Boston Bruins,1993,42,29,,0.5,289,252,37.0
219,Buffalo Sabres,1993,43,32,,0.512,282,218,64.0
220,Calgary Flames,1993,42,29,,0.5,302,256,46.0
221,Chicago Blackhawks,1993,39,36,,0.464,254,240,14.0
222,Dallas Stars,1993,42,29,,0.5,286,265,21.0
223,Detroit Red Wings,1993,46,30,,0.548,356,275,81.0
224,Edmonton Oilers,1993,25,45,,0.298,261,305,-44.0
225,Florida Panthers,1993,33,34,,0.393,233,233,0.0
226,Hartford Whalers,1993,27,48,,0.321,227,288,-61.0
227,Los Angeles Kings,1993,27,45,,0.321,294,322,-28.0
228,Montreal Canadiens,1993,41,29,,0.488,283,248,35.0
229,New Jersey Devils,1993,47,25,,0.56,306,220,86.0
230,New York Islanders,1993,36,36,,0.429,282,264,18.0
231,New York Rangers,1993,52,24,,0.619,299,231,68.0
232,Ottawa Senators,1993,14,61,,0.167,201,397,-196.0
233,Philadelphia Flyers,1993,35,39,,0.417,294,314,-20.0
234,Pittsburgh Penguins,1993,44,27,,0.524,299,285,14.0
235,Quebec Nordiques,1993,34,42,,0.405,277,292,-15.0
236,San Jose Sharks,1993,33,35,,0.393,252,265,-13.0
237,St. Louis Blues,1993,40,33,,0.476,270,283,-13.0
238,Tampa Bay Lightning,1993,30,43,,0.357,224,251,-27.0
239,Toronto Maple Leafs,1993,43,29,,0.512,280,243,37.0
240,Vancouver Canucks,1993,41,40,,0.488,279,276,3.0
241,Washington Capitals,1993,39,35,,0.464,277,263,14.0
242,Winnipeg Jets,1993,24,51,,0.286,245,344,-99.0
243,Mighty Ducks of Anaheim,1994,16,27,,0.333,125,164,-39.0
244,Boston Bruins,1994,27,18,,0.562,150,127,23.0
245,Buffalo Sabres,1994,22,19,,0.458,130,119,11.0
246,Calgary Flames,1994,24,17,,0.5,163,135,28.0
247,Chicago Blackhawks,1994,24,19,,0.5,156,115,41.0
248,Dallas Stars,1994,17,23,,0.354,136,135,1.0
249,Detroit Red Wings,1994,33,11,,0.688,180,117,63.0
250,Boston Bruins,1990,44,24,,0.55,299,264,35.0
251,Buffalo Sabres,1990,31,30,,0.388,292,278,14.0
252,Calgary Flames,1990,46,26,,0.575,344,263,81.0
253,Chicago Blackhawks,1990,49,23,,0.613,284,211,73.0
254,Detroit Red Wings,1990,34,38,,0.425,273,298,-25.0
255,Edmonton Oilers,1990,37,37,,0.463,272,272,0.0
256,Hartford Whalers,1990,31,38,,0.388,238,276,-38.0
257,Los Angeles Kings,1990,46,24,,0.575,340,254,86.0
258,Minnesota North Stars,1990,27,39,,0.338,256,266,-10.0
259,Montreal Canadiens,1990,39,30,,0.487,273,249,24.0
260,New Jersey Devils,1990,32,33,,0.4,272,264,8.0
261,New York Islanders,1990,25,45,,0.312,223,290,-67.0
262,New York Rangers,1990,36,31,,0.45,297,265,32.0
263,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15.0
264,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37.0
265,Quebec Nordiques,1990,16,50,,0.2,236,354,-118.0
266,St. Louis Blues,1990,47,22,,0.588,310,250,60.0
267,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77.0
268,Vancouver Canucks,1990,28,43,,0.35,243,315,-72.0
269,Washington Capitals,1990,37,36,,0.463,258,258,0.0
270,Winnipeg Jets,1990,26,43,,0.325,260,288,-28.0
271,Boston Bruins,1991,36,32,,0.45,270,275,-5.0
272,Buffalo Sabres,1991,31,37,,0.388,289,299,-10.0
273,Calgary Flames,1991,31,37,,0.388,296,305,-9.0
274,Chicago Blackhawks,1991,36,29,,0.45,257,236,21.0
275,Detroit Red Wings,1991,43,25,,0.537,320,256,64.0
276,Edmonton Oilers,1991,36,34,,0.45,295,297,-2.0
277,Hartford Whalers,1991,26,41,,0.325,247,283,-36.0
278,Los Angeles Kings,1991,35,31,,0.438,287,296,-9.0
279,Minnesota North Stars,1991,32,42,,0.4,246,278,-32.0
280,Montreal Canadiens,1991,41,28,,0.512,267,207,60.0
281,New Jersey Devils,1991,38,31,,0.475,289,259,30.0
282,New York Islanders,1991,34,35,,0.425,291,299,-8.0
283,New York Rangers,1991,50,25,,0.625,321,246,75.0
284,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21.0
285,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35.0
286,Quebec Nordiques,1991,20,48,,0.25,255,318,-63.0
287,San Jose Sharks,1991,17,58,,0.212,219,359,-140.0
288,St. Louis Blues,1991,36,33,,0.45,279,266,13.0
289,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60.0
290,Vancouver Canucks,1991,42,26,,0.525,285,250,35.0
291,Washington Capitals,1991,45,27,,0.562,330,275,55.0
292,Winnipeg Jets,1991,33,32,,0.412,251,244,7.0
293,Boston Bruins,1992,51,26,,0.607,332,268,64.0
294,Buffalo Sabres,1992,38,36,,0.452,335,297,38.0
295,Calgary Flames,1992,43,30,,0.512,322,282,40.0
296,Chicago Blackhawks,1992,47,25,,0.56,279,230,49.0
297,Detroit Red Wings,1992,47,28,,0.56,369,280,89.0
298,Edmonton Oilers,1992,26,50,,0.31,242,337,-95.0
299,Hartford Whalers,1992,26,52,,0.31,284,369,-85.0
300,Los Angeles Kings,1992,39,35,,0.464,338,340,-2.0
301,Minnesota North Stars,1992,36,38,,0.429,272,293,-21.0
302,Montreal Canadiens,1992,48,30,,0.571,326,280,46.0
303,New Jersey Devils,1992,40,37,,0.476,308,299,9.0
304,New York Islanders,1992,40,37,,0.476,335,297,38.0
305,New York Rangers,1992,34,39,,0.405,304,308,-4.0
306,Ottawa Senators,1992,10,70,,0.119,202,395,-193.0
307,Philadelphia Flyers,1992,36,37,,0.429,319,319,0.0
308,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99.0
309,Quebec Nordiques,1992,47,27,,0.56,351,300,51.0
310,San Jose Sharks,1992,11,71,,0.131,218,414,-196.0
311,St. Louis Blues,1992,37,36,,0.44,282,278,4.0
312,Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87.0
313,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47.0
314,Vancouver Canucks,1992,46,29,,0.548,346,278,68.0
315,Washington Capitals,1992,43,34,,0.512,325,286,39.0
316,Winnipeg Jets,1992,40,37,,0.476,322,320,2.0
317,Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22.0
318,Boston Bruins,1993,42,29,,0.5,289,252,37.0
319,Buffalo Sabres,1993,43,32,,0.512,282,218,64.0
320,Calgary Flames,1993,42,29,,0.5,302,256,46.0
321,Chicago Blackhawks,1993,39,36,,0.464,254,240,14.0
322,Dallas Stars,1993,42,29,,0.5,286,265,21.0
323,Detroit Red Wings,1993,46,30,,0.548,356,275,81.0
324,Edmonton Oilers,1993,25,45,,0.298,261,305,-44.0
325,Florida Panthers,1993,33,34,,0.393,233,233,0.0
326,Hartford Whalers,1993,27,48,,0.321,227,288,-61.0
327,Los Angeles Kings,1993,27,45,,0.321,294,322,-28.0
328,Montreal Canadiens,1993,41,29,,0.488,283,248,35.0
329,New Jersey Devils,1993,47,25,,0.56,306,220,86.0
330,New York Islanders,1993,36,36,,0.429,282,264,18.0
331,New York Rangers,1993,52,24,,0.619,299,231,68.0
332,Ottawa Senators,1993,14,61,,0.167,201,397,-196.0
333,Philadelphia Flyers,1993,35,39,,0.417,294,314,-20.0
334,Pittsburgh Penguins,1993,44,27,,0.524,299,285,14.0
335,Quebec Nordiques,1993,34,42,,0.405,277,292,-15.0
336,San Jose Sharks,1993,33,35,,0.393,252,265,-13.0
337,St. Louis Blues,1993,40,33,,0.476,270,283,-13.0
338,Tampa Bay Lightning,1993,30,43,,0.357,224,251,-27.0
339,Toronto Maple Leafs,1993,43,29,,0.512,280,243,37.0
340,Vancouver Canucks,1993,41,40,,0.488,279,276,3.0
341,Washington Capitals,1993,39,35,,0.464,277,263,14.0
342,Winnipeg Jets,1993,24,51,,0.286,245,344,-99.0
343,Mighty Ducks of Anaheim,1994,16,27,,0.333,125,164,-39.0
344,Boston Bruins,1994,27,18,,0.562,150,127,23.0
345,Buffalo Sabres,1994,22,19,,0.458,130,119,11.0
346,Calgary Flames,1994,24,17,,0.5,163,135,28.0
347,Chicago Blackhawks,1994,24,19,,0.5,156,115,41.0
348,Dallas Stars,1994,17,23,,0.354,136,135,1.0
349,Detroit Red Wings,1994,33,11,,0.688,180,117,63.0
350,Edmonton Oilers,1994,17,27,,0.354,136,183,-47.0
351,Florida Panthers,1994,20,22,,0.417,115,127,-12.0
352,Hartford Whalers,1994,19,24,,0.396,127,141,-14.0
353,Los Angeles Kings,1994,16,23,,0.333,142,174,-32.0
354,Montreal Canadiens,1994,18,23,,0.375,125,148,-23.0
355,New Jersey Devils,1994,22,18,,0.458,136,121,15.0
356,New York Islanders,1994,15,28,,0.312,126,158,-32.0
357,New York Rangers,1994,22,23,,0.458,139,134,5.0
358,Ottawa Senators,1994,9,34,,0.188,117,174,-57.0
359,Philadelphia Flyers,1994,28,16,,0.583,150,132,18.0
360,Pittsburgh Penguins,1994,29,16,,0.604,181,158,23.0
361,Quebec Nordiques,1994,30,13,,0.625,185,134,51.0
362,San Jose Sharks,1994,19,25,,0.396,129,161,-32.0
363,St. Louis Blues,1994,28,15,,0.583,178,135,43.0
364,Tampa Bay Lightning,1994,17,28,,0.354,120,144,-24.0
365,Toronto Maple Leafs,1994,21,19,,0.438,135,146,-11.0
366,Vancouver Canucks,1994,18,18,,0.375,153,148,5.0
367,Washington Capitals,1994,22,18,,0.458,136,120,16.0
368,Winnipeg Jets,1994,16,25,,0.333,157,177,-20.0
369,Mighty Ducks of Anaheim,1995,35,39,,0.427,234,247,-13.0
370,Boston Bruins,1995,40,31,,0.488,282,269,13.0
371,Buffalo Sabres,1995,33,42,,0.402,247,262,-15.0
372,Calgary Flames,1995,34,37,,0.415,241,240,1.0
373,Chicago Blackhawks,1995,40,28,,0.488,273,220,53.0
374,Colorado Avalanche,1995,47,25,,0.573,326,240,86.0
375,Boston Bruins,1990,44,24,,0.55,299,264,35.0
376,Buffalo Sabres,1990,31,30,,0.388,292,278,14.0
377,Calgary Flames,1990,46,26,,0.575,344,263,81.0
378,Chicago Blackhawks,1990,49,23,,0.613,284,211,73.0
379,Detroit Red Wings,1990,34,38,,0.425,273,298,-25.0
380,Edmonton Oilers,1990,37,37,,0.463,272,272,0.0
381,Hartford Whalers,1990,31,38,,0.388,238,276,-38.0
382,Los Angeles Kings,1990,46,24,,0.575,340,254,86.0
383,Minnesota North Stars,1990,27,39,,0.338,256,266,-10.0
384,Montreal Canadiens,1990,39,30,,0.487,273,249,24.0
385,New Jersey Devils,1990,32,33,,0.4,272,264,8.0
386,New York Islanders,1990,25,45,,0.312,223,290,-67.0
387,New York Rangers,1990,36,31,,0.45,297,265,32.0
388,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15.0
389,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37.0
390,Quebec Nordiques,1990,16,50,,0.2,236,354,-118.0
391,St. Louis Blues,1990,47,22,,0.588,310,250,60.0
392,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77.0
393,Vancouver Canucks,1990,28,43,,0.35,243,315,-72.0
394,Washington Capitals,1990,37,36,,0.463,258,258,0.0
395,Winnipeg Jets,1990,26,43,,0.325,260,288,-28.0
396,Boston Bruins,1991,36,32,,0.45,270,275,-5.0
397,Buffalo Sabres,1991,31,37,,0.388,289,299,-10.0
398,Calgary Flames,1991,31,37,,0.388,296,305,-9.0
399,Chicago Blackhawks,1991,36,29,,0.45,257,236,21.0
400,Detroit Red Wings,1991,43,25,,0.537,320,256,64.0
401,Edmonton Oilers,1991,36,34,,0.45,295,297,-2.0
402,Hartford Whalers,1991,26,41,,0.325,247,283,-36.0
403,Los Angeles Kings,1991,35,31,,0.438,287,296,-9.0
404,Minnesota North Stars,1991,32,42,,0.4,246,278,-32.0
405,Montreal Canadiens,1991,41,28,,0.512,267,207,60.0
406,New Jersey Devils,1991,38,31,,0.475,289,259,30.0
407,New York Islanders,1991,34,35,,0.425,291,299,-8.0
408,New York Rangers,1991,50,25,,0.625,321,246,75.0
409,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21.0
410,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35.0
411,Quebec Nordiques,1991,20,48,,0.25,255,318,-63.0
412,San Jose Sharks,1991,17,58,,0.212,219,359,-140.0
413,St. Louis Blues,1991,36,33,,0.45,279,266,13.0
414,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60.0
415,Vancouver Canucks,1991,42,26,,0.525,285,250,35.0
416,Washington Capitals,1991,45,27,,0.562,330,275,55.0
417,Winnipeg Jets,1991,33,32,,0.412,251,244,7.0
418,Boston Bruins,1992,51,26,,0.607,332,268,64.0
419,Buffalo Sabres,1992,38,36,,0.452,335,297,38.0
420,Calgary Flames,1992,43,30,,0.512,322,282,40.0
421,Chicago Blackhawks,1992,47,25,,0.56,279,230,49.0
422,Detroit Red Wings,1992,47,28,,0.56,369,280,89.0
423,Edmonton Oilers,1992,26,50,,0.31,242,337,-95.0
424,Hartford Whalers,1992,26,52,,0.31,284,369,-85.0
425,Los Angeles Kings,1992,39,35,,0.464,338,340,-2.0
426,Minnesota North Stars,1992,36,38,,0.429,272,293,-21.0
427,Montreal Canadiens,1992,48,30,,0.571,326,280,46.0
428,New Jersey Devils,1992,40,37,,0.476,308,299,9.0
429,New York Islanders,1992,40,37,,0.476,335,297,38.0
430,New York Rangers,1992,34,39,,0.405,304,308,-4.0
431,Ottawa Senators,1992,10,70,,0.119,202,395,-193.0
432,Philadelphia Flyers,1992,36,37,,0.429,319,319,0.0
